"Keys","EN","DE","FR","DA","ZH","ES","RU","VI","JA","NO","KO","TE","HI","AR"
"Pressure","Pressure","Pressure","Pressure","Pressure","压力","Presión","давление","Sức ép","圧力","Press","압력","ప్రెజర్","दबाव","الضغط"
"Gauss","Gauss","Gauss","Gauss","Gauss","高斯","Gauss","гаусс","cốt","ガウス","Gauss","가우스","గాస్","गॉस","الغاوس وحدة الحث المغنطيسي"
"Circular","Circular","Circular","Circular","Circular","圆","Circular","круговое","vòng tròn","円形の","Sirkulær","회보","సర్క్యులర్","परिपत्र","دائري"
"Additive","Additive","Additive","Additive","Additive","添加剂","Aditivo","присадка","thêm vào","添加物","Tilsetningsstoff","첨가물","సంకలిత","additive","المضافات"
"Alpha","Alpha","Alpha","Alpha","Alpha","Α","Alfa","Альфа","Alpha","アルファ","Alpha","알파","ఆల్ఫా","अल्फा","ألفا"
"Time +","Time +","Time +","Time +","Time +","时间+","tiempo +","Время +","Thời gian +","タイム+","tid +","시간 +","టైమ్ +","समय +","الوقت +"
"TimeStepModeDependant","TimeStepModeDependant","TimeStepModeDependant","TimeStepModeDependant","TimeStepModeDependant","TimeStepModeDependant","TimeStepModeDependant","TimeStepModeDependant","TimeStepModeDependant","TimeStepModeDependant","TimeStepModeDependant","TimeStepModeDependant","TimeStepModeDependant","TimeStepModeDependant","TimeStepModeDependant"
"Euler Explicit","Euler Explicit","Euler Explicit","Euler Explicit","Euler Explicit","欧拉明确","Euler explícito","Эйлер Явное","Euler Explicit","明示的なオイラー","Euler Explicit","명시 오일러","ఆయిలర్ Explicit","यूलर स्पष्ट","يولر صريح"
"Euler Semi Implicit","Euler Semi Implicit","Euler Semi Implicit","Euler Semi Implicit","Euler Semi Implicit","欧拉半隐式","Euler Semi Implícito","Эйлер Semi неявной","Euler Semi Implicit","オイラーセミ暗黙","Euler Semi Implisitt","오일러 세미 암시","ఆయిలర్ సెమీ సూచనప్రాయ","यूलर अर्ध अंतर्निहित","يولر شبه الضمني"
"RK2","RK2","RK2","RK2","RK2","RK2","RK2","RK2","RK2","RK2","RK2","RK2","RK2","RK2","RK2"
"RK4","RK4","RK4","RK4","RK4","RK4","RK4","RK4","RK4","RK4","RK4","RK4","RK4","RK4","RK4"
"RKF","RKF","RKF","RKF","RKF","RKF","RKF","РКФ","RKF","RKF","RKF","RKF","RKF","RKF","RKF"
"Velocity Verlet","Velocity Verlet","Velocity Verlet","Velocity Verlet","Velocity Verlet","速度verlet的","velocidad Verlet","Скорость Верле","Velocity Verlet","速度Verlet","Velocity Verlet","속도 Verlet","వెలాసిటీ Verlet","वेग Verlet","سرعة Verlet"
"Forest Ruth","Forest Ruth","Forest Ruth","Forest Ruth","Forest Ruth","林露丝","bosque Ruth","Forest Ruth","rừng Ruth","森ルース","Forest Ruth","숲 루스","ఫారెస్ట్ రూత్","वन रुथ","الغابات روث"
"PEFRL","PEFRL","PEFRL","PEFRL","PEFRL","PEFRL","PEFRL","PEFRL","PEFRL","PEFRL","PEFRL","PEFRL","PEFRL","PEFRL","PEFRL"
"Fixed","Fixed","Fixed","Fixed","Fixed","固定","Fijo","Исправлена","đã sửa","一定","fast","결정된","స్థిర","स्थिर","ثابت"
"Global Adaptive","Global Adaptive","Global Adaptive","Global Adaptive","Global Adaptive","全局自适应","Global adaptativo","Глобальная Адаптивный","toàn cầu thích ứng","グローバル適応","global Adaptive","글로벌 적응","గ్లోబల్ అడాప్టివ్","वैश्विक अनुकूली","التكيف العالمي"
"Enable Fragments","Enable Fragments","Enable Fragments","Enable Fragments","Enable Fragments","启用片段","Habilitar fragmentos","Включение фрагментов","Enable Những mảnh vỡ","フラグメントを有効にします","aktiver Fragments","조각 사용","ఫ్రాగ్మెంట్స్ ప్రారంభించు","टुकड़े सक्षम करें","تمكين شظايا"
"Awesome","Awesome","Awesome","Awesome","Awesome","真棒","Increíble","Потрясающие","Tuyệt vời","驚くばかり","Rått","최고","బ్రహ్మాండం","बहुत बढ़िया","رائع"
"Barycenter","Barycenter","Barycenter","Barycenter","Barycenter","重心","Baricentro","барицентр","khối tâm hệ thiên thể","重心","barycenter","무게 중심","Barycenter","केन्द्रक","مرجح"
"Most Massive Body","Most Massive Body","Most Massive Body","Most Massive Body","Most Massive Body","最庞大的身躯","La mayor parte de cuerpo macizo","Самое массивное тело","Hầu hết thân hình đồ sộ","ほとんどの大規模なボディ","De fleste Massive Body","대부분의 대규모 바디","అత్యంత భారీ శరీర","सबसे विशाल शरीर","معظم الجسم ضخمة"
"Fixed Grid","Fixed Grid","Fixed Grid","Fixed Grid","Fixed Grid","定格","cuadrícula fija","Фиксированная сетевая","Lưới cố định","固定グリッド","fast Grid","고정 그리드","స్థిర గ్రిడ్","फिक्स्ड ग्रिड","الشبكة الثابتة"
"Info & Stats","Info & Stats","Info & Stats","Info & Stats","Info & Stats","信息与统计","Información y Estadísticas","Информация и статистика","Thông tin & Thống kê","情報＆統計","Info og statistikk","정보 및 통계","సమాచారం & గణాంకాలు","जानकारी और आँकड़े","معلومات واحصائيات"
"Default","Default","Default","Default","Default","默认","Defecto","По умолчанию","Mặc định","デフォルト","Misligholde","태만","డిఫాల్ట్","चूक","افتراضي"
"Elevation","Elevation","Elevation","Elevation","Elevation","海拔","Elevación","высота","độ cao","標高","Elevation","높이","ఎత్తు","ऊंचाई","ارتفاع"
"Surface Features","Surface Features","Surface Features","Surface Features","Surface Features","表面特征","Características de la superficie","Поверхностные характеристики","Các tính năng bề mặt","表面の特徴","overflate~~POS=TRUNC funksjoner","표면 특징","ఉపరితల ఫీచర్స్","भूतल विशेषताएं","السمات السطحية"
"None","None","None","None","None","没有","Ninguna","Никто","không ai","なし","Ingen","없음","గమనిక","कोई नहीं","لا شيء"
"Trail","Trail","Trail","Trail","Trail","落后","Sendero","тропинка","đường mòn","トレイル","Sti","꼬리","కాలిబాట","निशान","ممر المشاة"
"Orbit","Orbit","Orbit","Orbit","Orbit","轨道","Orbita","орбита","quĩ đạo","軌道","Orbit","궤도","ఆర్బిట్","की परिक्रमा","مدار"
"Prefab","Prefab","Prefab","Prefab","Prefab","预制","Casa prefabricada","Каркасные","prefab","プレハブ","Prefab","조립식","ప్రెఫ్యాబ్","पूर्वनिर्मित","منزل جاهز"
"Black Hole","Black Hole","Black Hole","Black Hole","Black Hole","黑洞","Calabozo","Черная дыра","Hố đen","ブラックホール","Svart hull","블랙홀","కృష్ణ బిలం","ब्लैक होल","الثقب الأسود"
"Star","Star","Star","Star","Star","星","Estrella","звезда","Ngôi sao","星","Stjerne","별","స్టార్","तारा","نجمة"
"Gas Giant","Gas Giant","Gas Giant","Gas Giant","Gas Giant","天然气巨头","Gas gigante","Газовый гигант","Giant khí","巨大ガス","Gas Giant","가스 자이언트","గ్యాస్ జైంట్","गैस दानव","عملاق الغاز"
"Terrestrial Planet","Terrestrial Planet","Terrestrial Planet","Terrestrial Planet","Terrestrial Planet","类地行星","planeta terrestre","Terrestrial Planet","Planet Terrestrial","地球型惑星","Terrestrial Planet","지상파 행성","భూ గ్రహం","स्थलीय ग्रह","الكوكب الأرضي"
"Planetoid","Planetoid","Planetoid","Planetoid","Planetoid","小行星","Planetoide","астероид","hành tinh nhỏ","小惑星","planetoid","소행성","planetoid","उपग्रह","الكويكب"
"Physics Object","Physics Object","Physics Object","Physics Object","Physics Object","物理对象","la física de objetos","Физика объектов","vật lý Object","物理オブジェクト","fysikk Object","물리학 개체","ఫిజిక్స్ ఆబ్జెక్ట్","भौतिकी वस्तु","كائن الفيزياء"
"Lock Position","Lock Position","Lock Position","Lock Position","Lock Position","锁定位置","Posición de bloqueo","Блокировка установки","Chức Khóa","ロックポジション","lås posisjon","위치 고정","లాక్ స్థానం","लॉक स्थिति","الوظيفة قفل"
"Collider","Collider","Collider","Collider","Collider","对撞机","colisionador","Коллайдер","Collider","クライダー","Collider","충돌 장치","కొలైడర్","कोलाइडर","المصادم"
"Collider Group Major","Collider Group Major","Collider Group Major","Collider Group Major","Collider Group Major","对撞机的主要组","Colisionador Grupo Principal","Коллайдер группа Major","Collider Nhóm chính","衝突グループの主要","Collider Gruppe Major","충돌 장치 그룹 주요","కొలైడర్ గ్రూప్ మేజర్","कोलाइडर समूह मेजर","المصادم المجموعة الرئيسية"
